#,category,chars,approx,glm_real,glm_err,glm_pct,dsv_real,dsv_err,dsv_pct,kimi_real,kimi_err,kimi_pct,mmax_real,mmax_err,mmax_pct
243,code_py,283,71,90,-19,-21.11,93,-22,-23.66,90,-19,-21.11,106,-35,-33.02
244,chat_zh,51,51,27,24,88.89,27,24,88.89,27,24,88.89,27,24,88.89
245,chat_zh,25,25,15,10,66.67,14,11,78.57,14,11,78.57,16,9,56.25
246,chat_en,145,36,34,2,5.88,36,0,0.0,32,4,12.5,36,0,0.0
247,numeric,216,54,144,-90,-62.5,129,-75,-58.14,129,-75,-58.14,129,-75,-58.14
248,mixed,439,141,96,45,46.88,90,51,56.67,91,50,54.95,93,48,51.61
249,pure_chinese,41,41,22,19,86.36,21,20,95.24,19,22,115.79,23,18,78.26
250,numeric,83,21,23,-2,-8.7,24,-3,-12.5,23,-2,-8.7,23,-2,-8.7
251,mixed,241,146,84,62,73.81,84,62,73.81,77,69,89.61,86,60,69.77
252,code_js,334,84,86,-2,-2.33,89,-5,-5.62,89,-5,-5.62,104,-20,-19.23
253,code_py,692,173,242,-69,-28.51,246,-73,-29.67,240,-67,-27.92,280,-107,-38.21
254,chat_en,138,34,38,-4,-10.53,38,-4,-10.53,37,-3,-8.11,38,-4,-10.53
255,mixed,293,73,41,32,78.05,41,32,78.05,41,32,78.05,42,31,73.81
256,chat_en,158,40,37,3,8.11,39,1,2.56,36,4,11.11,38,2,5.26
257,mixed,166,66,40,26,65.0,39,27,69.23,38,28,73.68,40,26,65.0
258,markdown,557,139,159,-20,-12.58,164,-25,-15.24,160,-21,-13.12,169,-30,-17.75
259,numeric,82,20,60,-40,-66.67,52,-32,-61.54,58,-38,-65.52,61,-41,-67.21
260,chat_zh,24,24,12,12,100.0,12,12,100.0,12,12,100.0,12,12,100.0
261,numeric,249,62,69,-7,-10.14,72,-10,-13.89,69,-7,-10.14,69,-7,-10.14
262,mixed,452,144,82,62,75.61,82,62,75.61,80,64,80.0,84,60,71.43
263,pure_chinese,75,75,37,38,102.7,36,39,108.33,35,40,114.29,37,38,102.7
264,chat_en,79,20,21,-1,-4.76,21,-1,-4.76,19,1,5.26,21,-1,-4.76
265,pure_english,112,28,18,10,55.56,16,12,75.0,17,11,64.71,15,13,86.67
266,pure_chinese,120,120,59,61,103.39,56,64,114.29,54,66,122.22,59,61,103.39
267,mixed,261,65,37,28,75.68,37,28,75.68,38,27,71.05,38,27,71.05
268,code_py,1023,256,228,28,12.28,237,19,8.02,228,28,12.28,300,-44,-14.67
269,markdown,557,139,159,-20,-12.58,164,-25,-15.24,160,-21,-13.12,169,-30,-17.75
270,pure_chinese,73,73,35,38,108.57,36,37,102.78,34,39,114.71,35,38,108.57
